         I      E (eV)
  0.116884    4.013300  0
  0.250900    4.251735  0
  0.269288    4.490171  0
  0.192682    4.728606  0
  0.103402    4.967042  0
  0.044392    5.205477  0
  0.015882    5.443913  0
  0.004870    5.682348  0
  0.001307    5.920784  0
  0.116884   14.804300  1
  0.250900   15.042735  1
  0.269288   15.281171  1
  0.192682   15.519606  1
  0.103402   15.758042  1
  0.044392   15.996477  1
  0.015882   16.234912  1
  0.004870   16.473348  1
  0.001307   16.711783  1
  0.116884   17.586300  2
  0.250901   17.824735  2
  0.269288   18.063170  2
  0.192682   18.301604  2
  0.103401   18.540039  2
  0.044392   18.778474  2
  0.015882   19.016909  2
  0.004870   19.255344  2
  0.001307   19.493778  2
