Processing atom: 1/2, coord.: 1/3, delta: -0.0025
Processing atom: 1/2, coord.: 1/3, delta: 0.0025
Processing atom: 1/2, coord.: 2/3, delta: -0.0025
Processing atom: 1/2, coord.: 2/3, delta: 0.0025
Processing atom: 1/2, coord.: 3/3, delta: -0.0025
Processing atom: 1/2, coord.: 3/3, delta: 0.0025
Processing atom: 2/2, coord.: 1/3, delta: -0.0025
Processing atom: 2/2, coord.: 1/3, delta: 0.0025
Processing atom: 2/2, coord.: 2/3, delta: -0.0025
Processing atom: 2/2, coord.: 2/3, delta: 0.0025
Processing atom: 2/2, coord.: 3/3, delta: -0.0025
Processing atom: 2/2, coord.: 3/3, delta: 0.0025
